,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,kapaa,75,US,1624721709,78,22.0752,-159.319,73.72,6.91
84,saint-philippe,39,RE,1624721710,81,-21.3585,55.7679,71.19,11.54
85,bourail,92,NC,1624721450,80,-21.5667,165.4833,70.07,4.12
86,padang,100,ID,1624721176,88,-0.9492,100.3543,77.9,5.28
87,kyaikkami,95,MM,1624721710,85,16.08,97.5675,80.76,11.7
88,nome,90,US,1624721595,82,64.5011,-165.4064,53.67,9.22
89,busselton,0,AU,1624721711,64,-33.65,115.3333,54.05,20.56
90,hermanus,53,ZA,1624721711,71,-34.4187,19.2345,57.9,15.52
91,salaga,100,GH,1624721711,58,8.5508,-0.5188,86.22,3.47
92,atlantic city,40,US,1624721712,78,39.4668,-74.6663,84.13,1.01
93,chuy,73,UY,1624721712,83,-33.6971,-53.4616,60.3,10.31
94,new norfolk,99,LR,1624721426,78,6.6518,-10.5932,87.03,4.72
95,tukrah,0,LY,1624721713,48,32.5341,20.5791,86.58,8.9
96,mareeba,25,AU,1624721713,98,-17.0,145.4333,66.92,2.91
97,yele,92,CM,1624721713,25,10.7323,13.5891,93.31,9.86
98,fortuna,90,US,1624721714,100,40.5982,-124.1573,54.52,0.0
99,kangaatsiaq,100,GL,1624721714,85,68.3065,-53.4641,39.88,18.92
100,piacabucu,53,BR,1624721714,57,-10.4056,-36.4344,79.61,9.24
101,barrow,90,US,1624721485,93,71.2906,-156.7887,35.62,13.8
102,port hardy,41,CD,1624721715,47,-7.0349,29.7638,76.89,3.49
103,bambous virieux,55,MU,1624721191,80,-20.2567,57.4061,70.14,9.69
104,tuktoyaktuk,90,CA,1624721715,100,69.4541,-133.0374,41.0,5.75
105,khatanga,100,RU,1624721716,47,71.9667,102.5,49.64,3.85
106,ilulissat,75,GL,1624721716,87,69.2167,-51.1,46.42,10.36
107,castro,68,BR,1624721717,55,-24.7911,-50.0119,72.75,10.51
108,souillac,75,MU,1624721717,94,-20.5167,57.5167,71.37,16.11
109,carira,35,BR,1624721718,53,-10.3608,-37.7011,78.78,11.92
110,lodja,75,CD,1624721718,30,-3.4833,23.4333,88.32,2.46
111,caravelas,83,BR,1624721718,53,-17.7125,-39.2481,77.07,9.82
112,port-gentil,90,GA,1624721719,74,-0.7193,8.7815,80.56,12.66
113,sabang,89,ID,1624721719,77,5.8933,95.3214,81.37,25.3
114,mount gambier,35,GB,1624721213,73,53.6597,-1.8537,69.24,3.0
115,ayan,11,RU,1624721720,85,56.45,138.1667,49.37,6.6
116,upernavik,100,GL,1624721720,77,72.7868,-56.1549,39.69,5.35
117,peniche,41,PT,1624721210,78,39.3558,-9.3811,80.08,12.39
118,arman,90,RU,1624721720,90,59.7,150.1667,52.25,3.44
